"Type of being","Name","Episodes"
"Ghosts and spirits","James Stanley","I Only Have Eyes for You"
"Ghosts and spirits","Tammy","Birthday"
"Ghosts and spirits","Talisman Spectres","Lessons"
"Ghosts and spirits","The Valet","The Trial"
"Ghosts and spirits","Wesley Wyndam-Pryce","After the Fall"
"Ghosts and spirits","Wraith","Spin the Bottle"
"Animalistic beings","Nina Ash",""
"Animalistic beings","Peter Clarner","Beauty and the Beasts"
"Animalistic beings","Kyle DuFours, Rhonda Kelley, Tor Hauer, Heidi Barrie","The Pack"
"Animalistic beings","Xander Harris","The Pack"
"Animalistic beings","MacManus","Unleashed"
"Animalistic beings","The Neander-Guys: Colm, Kip, Hunt & Roy","Beer Bad"
"Animalistic beings","Buffy Summers","Beer Bad"
"Animalistic beings","Oz",""
"Animalistic beings","Veruca",""
"Animalistic beings","The Zookeeper","The Pack"
"Deities and higher beings","Beljoxa's Eye","Showtime"
"Deities and higher beings","The Conduit to the Powers That Be","Birthday"
"Deities and higher beings","Cordelia Chase (temporarily a higher power)",""
"Deities and higher beings","Dinza, Dark Demi-Goddess of the Lost","Ground State"
"Deities and higher beings","First Evil",""
"Deities and higher beings","Glorificus, a.k.a. Glory",""
"Deities and higher beings","Hecate","Bewitched, Bothered and Bewildered"
"Deities and higher beings","Jasmine",""
"Deities and higher beings","The Loa Alegba","Loyalty"
"Deities and higher beings","Mesekthet's replacement (the White Room's Panther)","Home, Hell Bound, A Hole in the World"
"Deities and higher beings","Osiris","Bargaining, Part One"
"Deities and higher beings","The Powers That Be",""
"Deities and higher beings","The Ra-Tet: Mesektet, Manjet, Ashet, Semkhet and Ma'at","Long Day's Journey"
"Magical creations","Glory's Spawn of Sobek","Shadow"
"Magical creations","Jonathan's Augmentation Monster","Superstar"
"Magical creations","The Killer Clown","Nightmares"
"Magical creations","Olaf the Troll","Triangle"
"Magical creations","The Ugly Man","Nightmares"
"Magical creations","Willow's Dirt Golems","Grave"
"Magical creations","The Thaumogenesis Demon","After Life"
"Magical creations","Roden's golems","No Future for You"
"Magical creations","Dawn Summers",""
"Monsters","The Bezoar","Bad Eggs"
"Monsters","The 'Failsafe'","You're Welcome"
"Monsters","Natalie French/the She-Mantis","Teacher's Pet"
"Monsters","The Lamprey Monster","Doublemeat Palace"
"Monsters","Quor-Toth Sluks","The Price"
"Monsters","Selminth Parasite","Soul Purpose"
"Monsters","Sunnydale High Swim Team","Go Fish"
"Monsters","Bug monsters","Fredless"
"Monsters","Tentacle monster","Sense & Sensitivity"
"Robots","Moloch","I, Robot... You, Jane"
"Robots","April","I Was Made to Love You"
"Robots","Ted Buchanon","Ted"
"Robots","Buffybot","Intervention, The Gift, Bargaining, Part One, Bargaining, Part Two"
"Robots","Cyborg Cell","Lineage"
"Robots","Gwen, Wolfram & Hart's Files and Records","Dad"
"Robots","Warrenbot","Villains"
"Robots","Mecha Dawn","Wolves at the Gate"
"Immortals and Non-Humans","Drogyn the Battlebrand",""
"Immortals and Non-Humans","Eve, Child of the Senior Partners",""
"Immortals and Non-Humans","The Guardian","End of Days"
"Immortals and Non-Humans","Marcus Hamilton, Child of the Senior Partners",""
"Immortals and Non-Humans","The Immortal","The Girl in Question"
"Immortals and Non-Humans","The Oracles","I Will Remember You"
"Immortals and Non-Humans","The Shrouded Shaman","Enemies"
"Immortals and Non-Humans","Transuding Furies","That Old Gang of Mine, Offspring"
"Immortals and Non-Humans","The Tribunal","Judgment"
"Immortals and Non-Humans","Wolfram & Hart's Prison Wardens: Zach, Trish, Ice-cream man, Mailman","Underneath"
"Good Supernatural Beings","Angel",""
"Good Supernatural Beings","Buffy Summers",""
"Good Supernatural Beings","Clem",""
"Good Supernatural Beings","Charles Gunn","After the Fall"
"Good Supernatural Beings","Chinese herbalist demons","That Vision Thing"
"Good Supernatural Beings","Connor",""
"Good Supernatural Beings","Cordelia Chase",""
"Good Supernatural Beings","Dennis Pearson","Rm w/a Vu"
"Good Supernatural Beings","Allen Francis Doyle",""
"Good Supernatural Beings","Drogyn the Battlebrand",""
"Good Supernatural Beings","Gwen Raiden",""
"Good Supernatural Beings","Illyria (debatable, as she technically doesn't care about either good or evil, instead believing herself to be above everything)",""
"Good Supernatural Beings","Kwaini Demon","The Prodigal"
"Good Supernatural Beings","Lorne",""
"Good Supernatural Beings","Nina Ash",""
"Good Supernatural Beings","Oz",""
"Good Supernatural Beings","The Powers That Be",""
"Good Supernatural Beings","Sid the Dummy",""
"Good Supernatural Beings","Slayers",""
"Good Supernatural Beings","Spike",""
"Good Supernatural Beings","Yarbnie demon","That Old Gang of Mine"
"Good Supernatural Beings","Dawn Summers",""
